danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,2
0.347,0.378,-9.96,0.0354,0.857,0.0,0.118,0.61,173.482,168609,1
0.517,0.675,-5.382,0.0357,0.459,0.0,0.151,0.518,203.853,163855,0
0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,7
0.728,0.293,-13.657,0.0562,0.479,0.904,0.118,0.152,98.302,217026,3
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389,2
0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,7
0.582,0.525,-7.163,0.0627,0.111,0.0,0.134,0.51,133.249,260253,7
0.637,0.977,-0.144,0.0509,0.000446,0.000435,0.405,0.623,128.024,151406,4
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,0
0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,6
0.544,0.546,-14.475,0.0923,0.0099,0.00027,0.392,0.151,161.76,100383,0
0.537,0.682,-6.169,0.0265,0.489,7.91e-06,0.138,0.519,139.942,215572,0
0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962,131013,2
0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,134256,2
0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613,7
0.507,0.496,-9.082,0.0489,0.397,9.03e-05,0.364,0.299,189.077,139360,0
0.731,0.85,-4.913,0.0336,0.252,0.0,0.605,0.644,119.706,157478,4
0.645,0.366,-11.249,0.0335,0.807,0.0,0.12,0.445,122.116,207541,1
0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,1
0.592,0.769,-7.154,0.0256,0.00458,1.09e-06,0.0934,0.735,136.046,164027,2
0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,232067,1
0.565,0.56,-6.034,0.0275,0.538,0.0,0.0961,0.325,159.931,177267,1
0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373,7
0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667,6
0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,7
0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,2
0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.001,139560,2
0.421,0.323,-9.82,0.0409,0.797,0.0,0.112,0.406,155.96,173960,1
0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,7
0.608,0.745,-4.13,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,7
0.587,0.632,-5.416,0.0311,0.148,1.01e-05,0.158,0.392,139.974,199040,7
0.573,0.614,-6.048,0.0384,0.12,0.552,0.408,0.241,121.999,183443,4
0.559,0.551,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,201800,0
0.539,0.508,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358,177720,1
0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,0.339,83.389,189893,6
0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,192841,7
0.566,0.845,-3.817,0.0265,0.00475,0.000822,0.148,0.698,103.97,187047,2
0.529,0.602,-4.629,0.0458,0.299,0.0,0.0716,0.756,157.643,271862,0
0.72,0.584,-10.881,0.348,0.00993,0.899,0.111,0.333,160.64,207541,6
0.836,0.743,-6.305,0.0653,0.0974,0.0,0.335,0.723,108.965,191938,2
0.534,0.466,-6.98,0.0272,0.277,0.0,0.0979,0.23,140.0,277660,7
0.607,0.912,-3.449,0.0611,0.124,0.0,0.332,0.722,134.944,206107,0
0.376,0.279,-8.166,0.0285,0.801,0.0,0.157,0.312,100.69,180853,1
0.675,0.726,-6.459,0.0461,0.105,0.0,0.153,0.671,124.872,186791,2
0.779,0.268,-12.151,0.0386,0.147,0.0564,0.292,0.851,123.985,170351,2
0.614,0.913,-5.126,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,206865,2
0.479,0.768,-5.204,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,183790,7
0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.811,290892,1
0.662,0.398,-6.691,0.0275,0.716,0.0,0.111,0.468,107.001,145850,1
0.566,0.845,-3.817,0.0265,0.00475,0.000822,0.148,0.698,103.97,187047,2
0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,196520,1
0.491,0.643,-4.309,0.0442,0.187,0.0,0.109,0.779,162.469,169419,0
0.595,0.182,-21.455,0.0379,0.573,0.776,0.112,0.473,130.018,117838,3
0.493,0.581,-6.133,0.0327,0.302,0.0,0.169,0.317,138.075,224582,7
0.599,0.696,-6.371,0.0366,0.119,0.197,0.123,0.36,92.086,121287,7
0.614,0.79,-5.716,0.163,0.0168,0.00331,0.118,0.684,128.654,191602,2
0.588,0.931,-3.925,0.0318,0.00411,0.0,0.345,0.625,105.027,219333,4
0.628,0.632,-5.932,0.0325,0.257,0.0,0.288,0.559,137.854,191227,0
0.877,0.517,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996,162053,7
0.504,0.736,-6.079,0.0352,0.00216,0.0,0.129,0.46,148.014,199733,0
0.773,0.701,-6.386,0.0512,0.01,0.0,0.163,0.203,129.963,214589,7
0.697,0.336,-10.395,0.0424,0.598,0.00528,0.107,0.31,82.029,216680,1
0.608,0.745,-4.13,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,7
0.74,0.697,-4.912,0.034,0.0268,0.0,0.224,0.732,138.992,163648,2
0.399,0.203,-17.491,0.0957,0.381,0.964,0.378,0.41,145.565,211289,3
0.645,0.534,-10.8,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,7
0.772,0.73,-6.657,0.0972,0.152,0.000107,0.274,0.786,136.175,174943,2
0.696,0.793,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253,2
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,2
0.669,0.742,-3.518,0.0441,0.296,0.0,0.355,0.716,101.982,203472,2
0.653,0.474,-10.899,0.103,0.312,6.65e-06,0.119,0.361,85.024,135529,1
0.667,0.581,-5.89,0.0375,0.227,0.0,0.112,0.407,122.016,170907,7
0.694,0.881,-4.094,0.149,0.607,0.0,0.267,0.624,129.965,162462,2
0.715,0.658,-5.662,0.0411,0.303,2.69e-06,0.368,0.753,174.087,231211,0
0.709,0.357,-9.289,0.214,0.478,0.000294,0.112,0.544,75.494,129480,1
0.713,0.703,-5.769,0.194,0.298,0.0,0.321,0.576,123.06,255693,6
0.784,0.826,-6.34,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,184066,2
0.522,0.801,-5.424,0.1,0.224,0.0,0.301,0.491,155.928,189307,0
0.707,0.261,-10.139,0.0784,0.853,0.0,0.127,0.545,65.038,183893,1
0.482,0.847,-4.741,0.0317,0.081,0.0,0.0832,0.592,76.01,198255,7
0.814,0.641,-5.957,0.111,0.027,0.0,0.0993,0.183,133.854,185507,7
0.395,0.784,-5.903,0.132,0.0135,0.0,0.213,0.353,161.946,203948,0
0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.08,221520,7
0.768,0.74,-6.595,0.336,0.696,6.81e-06,0.23,0.532,141.059,129362,6
0.88,0.746,-3.381,0.124,0.0129,0.0,0.105,0.315,130.045,165479,7
0.806,0.64,-7.398,0.317,0.0864,0.0,0.201,0.716,160.054,213206,6
0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,98.002,196600,6
0.684,0.671,-4.392,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920,7
0.625,0.537,-6.251,0.0345,0.588,0.00118,0.107,0.775,83.022,159227,2
0.699,0.541,-4.943,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,7
0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551,0
0.738,0.666,-6.97,0.455,0.00361,0.0,0.107,0.215,161.734,177789,6
0.698,0.895,-4.439,0.0628,0.172,1.45e-05,0.409,0.838,114.914,229605,2
0.892,0.662,-3.894,0.162,0.169,1.24e-06,0.363,0.607,93.976,227013,2
0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148,0
0.901,0.136,-16.127,0.102,0.667,0.354,0.109,0.643,150.076,211140,1
0.557,0.597,-8.296,0.048,0.646,0.0,0.0974,0.414,78.526,175238,1
0.716,0.758,-5.895,0.111,0.0336,1.33e-06,0.449,0.493,123.947,167419,4
0.512,0.605,-7.609,0.244,0.572,0.0,0.275,0.381,100.45,199200,6
0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,6
0.745,0.353,-10.614,0.0983,0.174,0.00662,0.118,0.598,160.111,326933,1
0.838,0.411,-7.148,0.29,0.0339,0.00022,0.159,0.168,75.044,185707,6
0.492,0.344,-15.259,0.0259,0.674,0.531,0.0933,0.247,86.485,199414,3
0.678,0.561,-11.648,0.0694,0.18,0.512,0.439,0.906,174.004,392893,5
0.595,0.451,-13.049,0.0445,0.00717,0.815,0.0954,0.298,170.022,249366,5
0.746,0.475,-11.243,0.113,0.0175,1.1e-05,0.197,0.292,80.006,241400,7
0.342,0.429,-8.439,0.0356,0.0206,0.709,0.149,0.392,68.387,349413,5
0.603,0.944,-3.626,0.347,0.0481,0.0,0.342,0.418,130.035,202853,6
0.836,0.603,-7.792,0.237,0.00208,0.0,0.571,0.388,99.994,226840,4
0.485,0.874,-6.821,0.0827,0.181,0.0166,0.651,0.528,111.74,190907,4
0.753,0.748,-8.62,0.0494,0.0921,0.00347,0.212,0.633,104.321,324880,2
0.615,0.434,-13.479,0.0414,0.445,0.00128,0.122,0.618,128.042,464333,1
0.764,0.475,-12.618,0.114,0.345,0.0,0.14,0.34,129.974,243270,1
0.601,0.574,-8.166,0.03,0.579,1.14e-05,0.216,0.8,147.964,214080,1
0.396,0.844,-6.644,0.313,0.0187,0.0697,0.32,0.331,99.778,188333,6
0.603,0.955,-4.111,0.0458,0.0239,0.0451,0.119,0.787,123.922,270827,2
0.793,0.845,-8.33,0.0413,0.423,0.0014,0.318,0.868,122.379,451800,2
0.714,0.611,-6.702,0.24,0.314,0.0,0.117,0.793,140.056,195429,6
0.735,0.759,-6.914,0.0449,0.0242,0.185,0.0966,0.77,109.982,214347,2
0.844,0.58,-10.384,0.0769,0.00053,0.375,0.289,0.285,123.998,302175,5
0.738,0.764,-4.29,0.0347,0.00037,0.278,0.292,0.777,130.011,304739,2
0.769,0.632,-4.228,0.0537,0.0325,0.0,0.116,0.294,131.932,176387,7
0.224,0.925,-1.71,0.0834,0.000596,1.35e-06,0.0663,0.378,138.022,132760,0
0.512,0.564,-5.892,0.0316,0.279,1.54e-05,0.133,0.395,94.5,203400,7
0.481,0.965,-2.993,0.0875,0.000903,0.000733,0.476,0.66,155.934,264524,4
0.705,0.75,-4.558,0.0524,0.0632,0.0,0.146,0.392,77.748,241947,7
0.396,0.844,-6.644,0.313,0.0187,0.0697,0.32,0.331,99.778,188333,6
0.835,0.584,-9.02,0.0655,0.057,0.0,0.355,0.171,119.987,270280,7
0.675,0.398,-12.779,0.121,0.277,0.126,0.0841,0.308,128.733,186122,1
0.675,0.84,-5.039,0.201,0.02,0.0,0.0225,0.569,93.989,208284,2
0.615,0.523,-4.246,0.267,0.505,4.29e-06,0.11,0.693,127.932,228750,6
0.959,0.598,-5.534,0.0713,0.0358,0.0,0.358,0.408,127.029,213000,7
0.769,0.632,-4.228,0.0537,0.0325,0.0,0.116,0.294,131.932,176387,7
0.642,0.931,-4.142,0.0417,0.0131,0.825,0.215,0.548,152.005,284400,5
0.667,0.581,-5.164,0.323,0.0428,0.0,0.183,0.368,110.953,230693,6
0.729,0.795,-4.579,0.144,0.354,0.0,0.536,0.856,146.747,176880,4
0.852,0.553,-7.286,0.187,0.0559,0.0,0.332,0.656,142.079,205879,6
0.738,0.375,-14.246,0.0521,0.00769,0.00419,0.32,0.277,135.975,219742,7
0.652,0.824,-5.555,0.264,0.0847,0.0,0.063,0.388,176.028,201874,0
0.729,0.843,-6.0,0.0482,0.000373,0.678,0.355,0.648,125.0,324541,5
0.752,0.501,-5.28,0.0866,0.00671,0.0,0.351,0.0766,147.086,184490,7
0.624,0.792,-5.33,0.0473,0.00156,1.54e-06,0.0772,0.325,139.94,183000,7
0.628,0.692,-5.64,0.202,0.00244,0.0129,0.668,0.0963,124.887,378893,4
0.635,0.847,-3.152,0.447,0.533,0.0,0.154,0.568,166.072,234650,6
0.715,0.833,-5.379,0.108,0.00631,0.0,0.164,0.612,95.487,213093,2
0.7,0.756,-10.714,0.0575,0.00182,0.711,0.0575,0.944,114.28,386160,5
0.789,0.494,-13.702,0.0456,0.0923,0.000408,0.144,0.826,104.593,175240,2
0.79,0.877,-5.769,0.0744,0.301,0.00731,0.0799,0.971,129.019,252560,2
0.788,0.904,-7.666,0.07,0.322,0.0619,0.0855,0.951,106.262,823733,5
0.32,0.295,-7.081,0.0304,0.857,0.0,0.0828,0.16,119.802,186147,1
0.7,0.84,-6.227,0.0292,0.0638,0.113,0.141,0.758,132.474,224480,2
0.424,0.465,-6.595,0.0297,0.461,5.52e-05,0.154,0.462,112.418,206387,1
0.508,0.792,-7.311,0.0297,0.229,0.124,0.145,0.601,147.067,320467,0
0.675,0.562,-7.678,0.0352,0.233,0.0,0.0816,0.309,130.098,256533,7
0.644,0.385,-10.655,0.354,0.658,2.11e-06,0.2,0.69,178.737,29048,6
0.646,0.63,-10.748,0.0435,0.00462,0.27,0.122,0.164,109.018,283067,7
0.489,0.878,-3.36,0.368,0.351,0.0,0.698,0.775,81.497,372173,4
0.759,0.439,-8.596,0.143,0.0155,5.27e-05,0.0828,0.594,148.033,113373,2
0.165,0.753,-3.648,0.0413,0.000419,0.677,0.28,0.127,162.653,311360,0
0.621,0.252,-14.359,0.0331,0.435,0.467,0.0941,0.336,92.586,287427,1
0.518,0.376,-18.248,0.0431,0.933,0.86,0.0976,0.744,158.089,233560,3
0.721,0.508,-7.496,0.394,0.317,0.0,0.153,0.457,159.911,166343,6
0.793,0.7,-6.641,0.0572,0.273,0.0,0.174,0.892,140.058,232251,2
0.55,0.715,-11.164,0.063,0.374,3.5e-06,0.17,0.778,82.116,223720,2
0.549,0.607,-10.089,0.0472,0.00267,0.812,0.329,0.267,73.041,186397,5
0.621,0.559,-6.863,0.0332,0.00494,0.00277,0.332,0.453,120.04,281169,7
0.882,0.525,-7.685,0.0778,0.00678,4.36e-05,0.133,0.267,127.978,213750,7
0.727,0.496,-10.742,0.0433,0.125,0.889,0.104,0.458,125.002,334173,5
0.857,0.831,-4.664,0.0995,0.00158,0.0,0.154,0.259,106.059,134062,7
0.699,0.388,-10.722,0.0531,0.588,1.98e-06,0.0658,0.566,125.858,274667,1
0.596,0.639,-6.546,0.03,0.783,0.569,0.331,0.233,124.012,196627,1
0.776,0.47,-10.308,0.0318,0.419,0.0,0.139,0.963,106.329,164933,2
0.768,0.853,-5.915,0.0427,0.0548,0.13,0.0188,0.889,107.234,239908,2
0.506,0.948,-5.626,0.105,0.727,0.0,0.0904,0.934,130.195,160400,2
0.49,0.253,-16.361,0.0323,0.921,0.903,0.117,0.164,77.031,220556,3
0.468,0.58,-8.131,0.0278,0.34,0.821,0.0737,0.325,76.27,386760,5
0.374,0.344,-10.654,0.0344,0.377,3.5e-05,0.0534,0.549,169.868,233000,1
0.533,0.213,-13.437,0.0342,0.849,0.565,0.449,0.207,80.004,378253,3
0.429,0.725,-6.156,0.0371,0.00502,1.54e-05,0.266,0.159,82.925,196933,7
0.657,0.562,-8.6,0.0601,0.54,0.00143,0.101,0.704,81.657,188454,1
0.711,0.706,-6.248,0.251,0.188,0.0,0.148,0.406,144.049,221350,6
0.683,0.824,-8.569,0.222,0.0249,0.627,0.0533,0.918,154.008,201049,5
0.298,0.327,-16.515,0.031,0.00834,0.86,0.0724,0.454,175.898,257867,5
0.868,0.644,-10.987,0.194,0.159,0.00018,0.901,0.785,97.933,459893,4
0.745,0.849,-7.886,0.0594,0.0647,0.111,0.0774,0.725,106.005,383620,2
0.144,0.668,-6.622,0.048,0.00633,0.308,0.11,0.0362,89.64,453227,7
0.598,0.708,-9.951,0.0664,0.344,0.0266,0.146,0.86,103.128,198253,2
0.61,0.925,-5.425,0.0657,0.0185,0.0,0.202,0.78,112.086,240258,2
0.786,0.547,-11.416,0.262,0.0397,0.272,0.0378,0.683,92.603,302840,6
0.734,0.548,-9.682,0.386,0.0213,0.0,0.512,0.724,128.289,321933,6
0.723,0.562,-8.363,0.186,0.00132,0.0184,0.1,0.661,176.056,165147,0
0.882,0.525,-7.685,0.0778,0.00678,4.36e-05,0.133,0.267,127.978,213750,7
0.602,0.881,-5.875,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587,7
0.748,0.741,-3.103,0.0531,0.00419,0.0,0.147,0.537,128.077,213053,2
0.534,0.285,-11.717,0.0386,0.679,0.000499,0.128,0.227,97.141,72160,1
0.799,0.789,-8.208,0.0395,0.0595,0.0,0.0338,0.831,116.083,333520,2
0.739,0.72,-6.695,0.026,0.0379,0.00267,0.23,0.892,102.997,187640,2
0.688,0.42,-9.015,0.0446,0.723,0.626,0.0734,0.624,137.999,427227,5
0.723,0.585,-6.496,0.0471,0.0121,0.0,0.325,0.485,134.071,299800,7
0.63,0.98,-4.914,0.059,0.228,0.00661,0.487,0.799,108.009,315595,4
0.6,0.746,-6.046,0.0738,0.0141,0.000115,0.139,0.216,99.876,237480,7
0.571,0.632,-6.884,0.752,0.252,0.0,0.104,0.943,199.987,292760,6
0.698,0.793,-5.332,0.105,0.123,0.0,0.0805,0.454,129.948,236760,7
0.764,0.772,-4.713,0.0537,0.00698,0.0303,0.772,0.345,130.025,213375,4
0.512,0.771,-7.006,0.0402,0.168,0.0,0.0895,0.803,129.639,160907,2
0.529,0.772,-7.013,0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267,2
0.527,0.308,-11.809,0.0284,0.551,4.25e-05,0.0921,0.514,136.297,160865,1
0.251,0.868,-2.685,0.128,0.488,7.34e-06,0.814,0.599,177.13,128200,4
0.558,0.633,-3.265,0.0329,0.487,0.0,0.129,0.871,72.494,112520,2
0.692,0.501,-11.708,0.0625,0.368,0.0,0.0393,0.961,128.388,140000,2
0.785,0.776,-5.259,0.0312,0.729,0.0,0.181,0.967,121.505,148040,2
0.53,0.918,-2.534,0.139,0.00817,0.000286,0.377,0.356,122.783,196373,4
0.661,0.531,-10.113,0.548,0.141,0.0,0.136,0.672,93.287,196615,6
0.644,0.385,-10.655,0.354,0.658,2.11e-06,0.2,0.69,178.737,29048,6
0.751,0.597,-6.59,0.125,0.0659,0.0,0.0881,0.159,123.997,202533,7
0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067,2
0.618,0.717,-5.738,0.318,0.00256,0.0,0.625,0.603,190.05,196693,4
0.746,0.873,-3.803,0.128,0.0244,0.0,0.354,0.817,148.075,222093,2
0.891,0.486,-7.803,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,200080,7
0.451,0.643,-6.237,0.051,0.0124,0.951,0.122,0.15,128.052,318750,5
0.507,0.934,-2.325,0.188,0.00936,0.00175,0.222,0.471,175.954,282273,0
0.698,0.911,-2.57,0.217,0.000757,0.000103,0.281,0.564,160.031,253773,0
0.46,0.455,-9.295,0.0975,0.709,0.000845,0.0989,0.772,208.328,226325,0
0.526,0.712,-6.525,0.0356,0.0161,0.0,0.179,0.32,105.009,241440,7
0.641,0.924,-7.697,0.0578,0.107,0.0269,0.0982,0.891,90.858,591707,2
0.4,0.65,-6.104,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,592920,4
0.275,0.126,-17.077,0.033,0.879,0.000799,0.0791,0.21,88.626,194160,3
0.665,0.732,-4.865,0.173,0.768,0.0,0.378,0.436,82.026,180613,1
0.732,0.572,-6.157,0.0386,0.00117,0.0,0.378,0.239,128.05,242467,7
0.525,0.619,-8.863,0.194,0.0201,0.0,0.0968,0.688,82.938,221960,2
0.6,0.603,-8.696,0.0741,0.313,0.0,0.0872,0.379,168.085,225107,0
0.795,0.579,-9.949,0.16,0.00228,0.0279,0.318,0.544,115.998,376271,2
0.558,0.642,-5.206,0.0321,7.19e-05,0.00746,0.201,0.482,99.977,258187,7
0.694,0.794,-6.741,0.108,0.0191,0.0758,0.49,0.758,91.967,248053,4
0.749,0.577,-6.446,0.295,0.0984,1.08e-05,0.316,0.46,172.054,191107,6
0.789,0.881,-5.758,0.0331,0.109,0.0,0.355,0.647,133.299,236600,2
0.944,0.84,-4.141,0.108,0.00922,0.0,0.0921,0.89,136.019,261973,2
0.729,0.795,-4.579,0.144,0.354,0.0,0.536,0.856,146.747,176880,4
0.721,0.621,-4.378,0.306,0.00469,0.0103,0.199,0.568,159.967,228933,6
0.771,0.776,-6.299,0.272,0.00109,1.45e-05,0.0297,0.465,162.049,227587,6
0.857,0.651,-9.703,0.31,0.0356,0.0,0.108,0.532,98.533,172980,6
0.684,0.38,-17.407,0.0417,0.179,0.000135,0.175,0.887,120.97,112863,2
0.764,0.862,-7.023,0.0391,0.233,0.0537,0.0972,0.869,122.031,194067,2
0.772,0.635,-8.412,0.0536,0.937,0.0176,0.0961,0.6,168.039,220093,1
0.259,0.847,-6.298,0.0332,2.13e-05,0.823,0.133,0.682,150.162,350920,5
0.664,0.587,-7.15,0.27,0.0195,2.91e-06,0.462,0.282,149.954,204840,6
0.733,0.477,-6.737,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,216133,2
0.735,0.583,-6.434,0.174,0.33,0.00137,0.122,0.497,140.969,221787,6
0.861,0.651,-4.718,0.111,0.0739,0.0,0.211,0.421,122.985,310907,7
0.704,0.431,-7.893,0.131,0.185,0.0972,0.249,0.346,146.003,282253,7
0.581,0.687,-5.4,0.105,0.229,0.0,0.109,0.187,76.014,240600,7
0.502,0.833,-4.982,0.0638,0.000472,0.044,0.352,0.596,142.053,244204,0
0.776,0.675,-6.224,0.266,0.00196,0.0,0.227,0.27,131.984,217707,6
0.32,0.295,-7.081,0.0304,0.857,0.0,0.0828,0.16,119.802,186147,1
0.777,0.739,-9.089,0.039,0.00212,0.868,0.109,0.202,119.992,500550,5
0.796,0.766,-5.974,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,6
0.753,0.397,-8.763,0.17,0.189,0.0,0.342,0.198,114.641,275840,7
0.547,0.578,-10.679,0.0364,0.183,0.933,0.25,0.514,131.019,294360,5
0.424,0.465,-6.595,0.0297,0.461,5.52e-05,0.154,0.462,112.418,206387,1
0.563,0.81,-9.158,0.0372,0.0111,2.71e-05,0.142,0.761,99.996,176361,2
0.753,0.709,-7.217,0.224,0.0507,0.0124,0.0872,0.437,115.004,256320,6
0.785,0.764,-5.279,0.04,0.149,0.813,0.204,0.96,93.987,262991,5
0.478,0.602,-7.655,0.0947,0.0685,0.0273,0.198,0.201,109.379,293910,7
0.589,0.441,-8.51,0.0313,0.485,0.00683,0.0829,0.328,139.979,235693,1
0.303,0.83,-5.911,0.0822,0.00101,0.00019,0.174,0.479,171.868,237209,0
0.345,0.543,-10.707,0.0682,0.19,2.41e-06,0.187,0.343,114.291,187732,7
0.836,0.427,-8.516,0.27,0.0474,0.0,0.101,0.368,99.912,217680,6
0.786,0.555,-10.276,0.0471,0.454,0.0173,0.0826,0.673,95.1,261373,2
0.717,0.862,-4.736,0.054,0.00689,0.0,0.321,0.52,130.021,224933,7
0.59,0.678,-4.686,0.052,0.0108,1.08e-06,0.129,0.327,104.915,243480,7
0.586,0.805,-9.542,0.0548,0.0248,0.000187,0.353,0.201,110.325,374133,7
0.265,0.352,-9.433,0.0369,0.645,0.635,0.174,0.206,67.407,201034,3
0.804,0.785,-7.901,0.129,0.0307,0.000911,0.179,0.44,124.048,250067,7
0.574,0.946,-4.334,0.0409,0.0776,0.222,0.341,0.381,99.999,355881,4
0.79,0.647,-5.983,0.136,0.0515,0.0,0.248,0.654,87.999,211000,2
0.804,0.708,-5.099,0.0394,0.108,0.0636,0.0528,0.966,141.996,336160,2
0.798,0.664,-5.357,0.0329,0.0113,0.0343,0.14,0.868,110.974,273800,2
0.537,0.0317,-25.413,0.0297,0.845,0.951,0.111,0.0399,87.343,79837,3
0.625,0.756,-6.954,0.231,0.00933,0.00134,0.324,0.673,123.948,284027,6
0.625,0.756,-6.954,0.231,0.00933,0.00134,0.324,0.673,123.948,284027,6
0.651,0.465,-8.499,0.0792,0.00386,0.847,0.0878,0.334,207.996,154613,5
0.518,0.385,-11.13,0.0286,0.639,0.000532,0.093,0.264,100.877,405027,1
